loss: 0.0731, recon: 0.0731, kl: 191.5146
loss: 0.0343, recon: 0.0343, kl: 225.8197
loss: 0.0248, recon: 0.0248, kl: 258.8837
loss: 0.0189, recon: 0.0189, kl: 295.8089
epoch: 1, lr: 0.000005, loss: 0.0201
loss: 0.0183, recon: 0.0183, kl: 316.2455
loss: 0.0161, recon: 0.0161, kl: 336.7939
loss: 0.0138, recon: 0.0138, kl: 367.7294
loss: 0.0144, recon: 0.0144, kl: 381.4903
epoch: 2, lr: 0.000005, loss: 0.0137
loss: 0.0138, recon: 0.0138, kl: 406.0885
loss: 0.0121, recon: 0.0121, kl: 436.0652
loss: 0.0122, recon: 0.0122, kl: 454.8908
loss: 0.0111, recon: 0.0111, kl: 485.2778
epoch: 3, lr: 0.000005, loss: 0.0129
loss: 0.0119, recon: 0.0119, kl: 502.8578
loss: 0.0121, recon: 0.0121, kl: 520.2856
loss: 0.0108, recon: 0.0108, kl: 546.1466
loss: 0.0108, recon: 0.0108, kl: 567.0127
epoch: 4, lr: 0.000005, loss: 0.0104
loss: 0.0106, recon: 0.0106, kl: 584.9403
loss: 0.0100, recon: 0.0100, kl: 606.9066
loss: 0.0103, recon: 0.0103, kl: 620.3112
loss: 0.0097, recon: 0.0097, kl: 641.1116
epoch: 5, lr: 0.000005, loss: 0.0098
loss: 0.0097, recon: 0.0097, kl: 665.2111
loss: 0.0093, recon: 0.0093, kl: 681.1589
loss: 0.0093, recon: 0.0093, kl: 704.2706
loss: 0.0090, recon: 0.0090, kl: 720.6656
loss: 0.0087, recon: 0.0087, kl: 742.5981
epoch: 6, lr: 0.000005, loss: 0.0090
loss: 0.0095, recon: 0.0095, kl: 762.3036
loss: 0.0094, recon: 0.0094, kl: 776.6853
loss: 0.0078, recon: 0.0078, kl: 815.0761
loss: 0.0085, recon: 0.0085, kl: 825.4667
epoch: 7, lr: 0.000005, loss: 0.0090
loss: 0.0087, recon: 0.0087, kl: 847.0624
loss: 0.0083, recon: 0.0083, kl: 864.8524
loss: 0.0089, recon: 0.0089, kl: 876.3998
loss: 0.0093, recon: 0.0093, kl: 888.1898
epoch: 8, lr: 0.000005, loss: 0.0082
loss: 0.0086, recon: 0.0086, kl: 925.8397
loss: 0.0082, recon: 0.0082, kl: 945.3973
loss: 0.0082, recon: 0.0082, kl: 978.9786
loss: 0.0092, recon: 0.0092, kl: 976.7938
epoch: 9, lr: 0.000005, loss: 0.0075
loss: 0.0079, recon: 0.0079, kl: 1012.3389
loss: 0.0074, recon: 0.0074, kl: 1034.9924
loss: 0.0076, recon: 0.0076, kl: 1047.5898
loss: 0.0082, recon: 0.0082, kl: 1067.5022
epoch: 10, lr: 0.000005, loss: 0.0072
loss: 0.0069, recon: 0.0069, kl: 1103.1382
loss: 0.0076, recon: 0.0076, kl: 1107.7024
loss: 0.0072, recon: 0.0072, kl: 1131.6851
loss: 0.0077, recon: 0.0077, kl: 1155.0022
epoch: 11, lr: 0.000005, loss: 0.0084
loss: 0.0083, recon: 0.0083, kl: 1162.6621
loss: 0.0084, recon: 0.0084, kl: 1179.4391
loss: 0.0076, recon: 0.0076, kl: 1199.6493
loss: 0.0073, recon: 0.0073, kl: 1216.4036
loss: 0.0069, recon: 0.0069, kl: 1252.8303
epoch: 12, lr: 0.000005, loss: 0.0081
loss: 0.0074, recon: 0.0074, kl: 1264.2378
loss: 0.0072, recon: 0.0072, kl: 1294.6205
loss: 0.0078, recon: 0.0078, kl: 1287.5642
loss: 0.0074, recon: 0.0074, kl: 1309.3064
epoch: 13, lr: 0.000005, loss: 0.0067
loss: 0.0070, recon: 0.0070, kl: 1336.7644
loss: 0.0077, recon: 0.0077, kl: 1349.1001
loss: 0.0072, recon: 0.0072, kl: 1371.5251
loss: 0.0073, recon: 0.0073, kl: 1370.8314
epoch: 14, lr: 0.000005, loss: 0.0083
loss: 0.0066, recon: 0.0066, kl: 1413.7408
loss: 0.0065, recon: 0.0065, kl: 1427.8551
loss: 0.0063, recon: 0.0063, kl: 1442.1560
loss: 0.0066, recon: 0.0066, kl: 1441.3732
epoch: 15, lr: 0.000005, loss: 0.0071
loss: 0.0068, recon: 0.0068, kl: 1474.0646
loss: 0.0081, recon: 0.0081, kl: 1460.1663
loss: 0.0066, recon: 0.0066, kl: 1490.2195
loss: 0.0069, recon: 0.0069, kl: 1505.5455
epoch: 16, lr: 0.000005, loss: 0.0064
loss: 0.0065, recon: 0.0065, kl: 1530.3868
loss: 0.0067, recon: 0.0067, kl: 1549.0927
loss: 0.0069, recon: 0.0069, kl: 1555.1212
loss: 0.0069, recon: 0.0069, kl: 1569.7080
epoch: 17, lr: 0.000005, loss: 0.0060
loss: 0.0069, recon: 0.0069, kl: 1576.8623
loss: 0.0064, recon: 0.0064, kl: 1597.2961
loss: 0.0057, recon: 0.0057, kl: 1627.1284
loss: 0.0068, recon: 0.0068, kl: 1626.0348
loss: 0.0061, recon: 0.0061, kl: 1649.3850
epoch: 18, lr: 0.000005, loss: 0.0064
loss: 0.0068, recon: 0.0068, kl: 1659.0566
loss: 0.0059, recon: 0.0059, kl: 1690.9886
loss: 0.0064, recon: 0.0064, kl: 1686.8813
loss: 0.0064, recon: 0.0064, kl: 1712.7114
epoch: 19, lr: 0.000005, loss: 0.0064
loss: 0.0053, recon: 0.0053, kl: 1743.3936
loss: 0.0066, recon: 0.0066, kl: 1741.2305
loss: 0.0056, recon: 0.0056, kl: 1772.3503
loss: 0.0062, recon: 0.0062, kl: 1768.1410
epoch: 20, lr: 0.000005, loss: 0.0052
loss: 0.0060, recon: 0.0060, kl: 1793.0312
loss: 0.0063, recon: 0.0063, kl: 1793.0225
loss: 0.0058, recon: 0.0058, kl: 1829.7920
loss: 0.0059, recon: 0.0059, kl: 1829.6044
